% [Description]
% EMI Scan QP

% [Header]
% Detector Mode=QP
% Dwell Time=0.2s
% Attenuation Level=AutodB
% Frequency Unit=Hz
% OverRange Flag=0
% Amplitude Unit=dB /m
% IF Filter=120kHz
% Scan=Scan1
% RF Port=RF1
% Transducer1=FP17_N4to6_LMR400_2_5m_Flex
% Transducer2=CB3-FP16-N5
% Transducer3=CB3_AP9_N5_to_FP17_N
% Transducer4=CB3_AP9_N5_LMR400
% Transducer5=N5
% Transducer6=20240926_cable_N_N_10m_AntennaCable_Blue_FTB_B
% Transducer7=Schwarzbeck VULB 9162 with Broadband TRILOG Antenna FTB-B  7GHz
% Transducer8=Attenuator 6dB

% [Data: f, Magnitude original, Magnitude with Transducer]
64716796.875  21.230 38.006
64765625.000  23.718 40.484
64814453.125  22.172 38.926
64863281.250  21.308 38.047
64912109.375  23.858 40.577
64960937.500  22.143 38.843
65009765.625  21.204 37.887
65058593.750  23.696 40.361
65107421.875  22.202 38.853
65156250.000  21.330 37.967
65205078.125  23.669 40.292
65253906.250  22.173 38.780
65302734.375  21.370 37.960
65351562.500  23.686 40.256
65400390.625  22.251 38.803
65449218.750  21.376 37.914
65498046.875  23.749 40.272
65546875.000  22.247 38.755
65595703.125  21.414 37.897
65644531.250  23.786 40.249
65693359.375  22.384 38.829
65742187.500  21.368 37.789
65791015.625  23.769 40.172
65839843.750  22.404 38.800
65888671.875  21.394 37.776
65937500.000  23.703 40.066
65986328.125  22.249 38.592
66035156.250  21.254 37.580
66083984.375  23.854 40.167
66132812.500  22.067 38.356
66181640.625  21.226 37.492
66230468.750  23.758 40.011
66279296.875  22.251 38.485
66328125.000  21.331 37.545
66376953.125  23.922 40.109
66425781.250  22.254 38.422
66474609.375  21.376 37.534
66523437.500  23.764 39.898
66572265.625  22.242 38.354
66621093.750  21.365 37.459
66669921.875  23.731 39.802
66718750.000  22.390 38.437
66767578.125  21.400 37.438
66816406.250  23.744 39.767
66865234.375  22.246 38.247
66914062.500  21.358 37.335
66962890.625  23.707 39.660
67011718.750  22.232 38.160
67060546.875  21.402 37.308
67109375.000  23.777 39.666
67158203.125  22.171 38.042
67207031.250  21.310 37.163
67255859.375  23.753 39.586
67304687.500  22.173 37.986
67353515.625  21.414 37.208
67402343.750  23.796 39.569
67451171.875  22.201 37.954
67500000.000  21.287 37.019
67548828.125  23.821 39.532
67597656.250  22.212 37.902
67646484.375  21.441 37.103
67695312.500  23.694 39.335
67744140.625  22.275 37.901
67792968.750  21.668 37.275
67841796.875  23.846 39.432
67890625.000  22.140 37.705
67939453.125  21.405 36.946
67988281.250  23.732 39.249
68037109.375  22.224 37.726
68085937.500  21.535 37.020
68134765.625  23.850 39.315
68183593.750  22.229 37.672
68232421.875  21.313 36.732
68281250.000  23.742 39.139
68330078.125  22.259 37.635
68378906.250  21.412 36.772
68427734.375  23.860 39.201
68476562.500  22.275 37.594
68525390.625  21.340 36.637
68574218.750  23.697 38.972
68623046.875  22.234 37.483
68671875.000  21.307 36.540
68720703.125  23.814 39.038
68769531.250  22.299 37.500
68818359.375  21.393 36.570
68867187.500  23.750 38.899
68916015.625  22.280 37.410
68964843.750  21.420 36.540
69013671.875  23.889 38.989
69062500.000  22.389 37.469
69111328.125  21.311 36.375
69160156.250  23.729 38.773
69208984.375  22.238 37.260
69257812.500  21.314 36.312
69306640.625  23.800 38.778
69355468.750  22.112 37.079
69404296.875  21.483 36.435
69453125.000  23.844 38.775
69501953.125  22.341 37.250
69550781.250  21.412 36.299
69599609.375  23.784 38.649
69648437.500  22.320 37.163
69697265.625  21.421 36.245
69746093.750  23.868 38.674
69794921.875  22.345 37.134
69843750.000  21.379 36.150
69892578.125  23.834 38.586
69941406.250  22.441 37.171
69990234.375  21.420 36.132
70039062.500  23.859 38.552
70087890.625  22.332 37.003
70136718.750  21.490 36.141
70185546.875  23.814 38.445
70234375.000  22.394 37.007
70283203.125  21.508 36.105
70332031.250  23.870 38.448
70380859.375  22.199 36.757
70429687.500  21.513 36.049
70478515.625  23.804 38.320
70527343.750  22.396 36.897
70576171.875  21.359 35.839
70625000.000  23.967 38.424
70673828.125  22.333 36.774
70722656.250  21.583 36.008
70771484.375  23.834 38.235
70820312.500  22.301 36.681
70869140.625  21.392 35.756
70917968.750  23.934 38.275
70966796.875  22.397 36.713
71015625.000  21.373 35.662
71064453.125  23.817 38.082
71113281.250  22.326 36.569
